ODK,DN,DIST,YARD LN,PLAY TYPE,QTR
O,1,10,-36,Run,1
O,2,8,-38,Run,1
O,3,2,-44,Run,1
D,1,10,-25,Pass,1
D,2,10,-25,Run,1
D,3,7,-28,Pass,1
D,1,10,-44,Pass,1
D,2,2,48,Run,1
D,3,1,45,Run,1
D,1,10,40,Run,1
D,1,10,15,,1
D,1,15,20,Run,1
D,2,13,18,Pass,1
D,3,13,18,Run,1
D,4,9,14,,1
D,1,7,7,Run,1
D,2,2,2,Run,1
O,1,10,-20,,1
O,1,15,-15,Pass,1
O,2,15,-15,Run,1
O,3,9,-21,Run,1
O,1,10,-34,Run,1
O,2,6,-38,Pass,1
O,1,10,48,Run,1
O,2,6,44,Pass,1
O,3,6,44,Pass,1
O,1,10,15,Run,1
O,1,4,4,Run,1
O,2,1,1,Run,1
D,1,10,-25,Pass,1
D,2,11,-24,Run,1
D,3,26,-9,Pass,1
O,1,10,-47,Run,1
O,2,7,50,Run,1
O,3,7,50,Pass,1
D,1,10,-16,Run,1
D,2,5,-21,Run,1
D,3,4,-22,Run,2
D,1,10,-27,Run,2
D,2,7,-30,Run,2
D,1,10,-37,Run,2
D,2,1,-45,Pass,2
D,1,10,-48,,2
D,1,15,-43,Run,2
D,2,11,-47,Pass,2
D,1,10,39,Run,2
D,2,2,31,Run,2
O,1,10,-35,Run,2
O,2,9,-36,Run,2
O,3,8,-38,Run,2
O,1,10,-47,Pass,2
O,2,10,-47,Pass,2
O,3,10,-47,Pass,2
D,1,10,22,Run,2
D,1,10,12,Run,2
O,1,10,-13,Run,2
O,2,9,-14,Pass,2
O,3,9,-14,Pass,2
O,4,9,-14,,2
D,1,10,32,Pass,2
D,1,2,2,Run,2
D,2,3,3,Pass,2
O,1,10,-5,Run,2
O,2,3,-12,Run,2
O,1,10,-29,Run,2
O,2,7,-32,Pass,2
O,1,10,-47,Run,2
O,2,4,47,Run,2
O,3,7,50,Pass,2
O,1,6,6,Run,2
O,2,5,5,Pass,2
O,1,48,2,Run,2
D,1,10,-39,,2
D,1,15,-34,Pass,2
D,2,7,-42,Pass,2
D,1,10,43,Pass,2
D,2,10,43,Pass,2
D,1,10,33,Pass,2
D,2,5,28,Pass,2
D,1,10,13,Pass,2
D,2,10,13,Pass,2
D,3,10,13,Pass,2
O,1,10,-16,Run,2
O,1,10,-30,Run,2
O,2,10,-30,,2
D,1,10,-31,Run,3
D,2,3,-38,Run,3
D,1,10,38,Run,3
D,2,9,37,Run,3
D,3,3,31,Pass,3
D,4,5,33,Run,3
O,1,10,-31,Run,3
O,2,8,-33,Run,3
O,3,11,-30,Pass,3
D,1,10,-38,,3
D,1,15,-33,Run,3
D,2,6,-42,Run,3
D,3,3,-45,Pass,3
D,3,8,-40,Run,3
O,1,10,47,,3
O,1,10,-48,Run,3
O,3,8,46,Pass,3
O,3,9,46,Pass,3
D,1,10,-33,Run,3
D,2,7,-36,Run,3
D,1,10,-46,Run,3
D,2,2,46,Run,3
D,3,3,38,,3
D,3,8,42,Run,3
D,1,10,31,Run,3
D,1,10,19,Run,3
D,2,6,15,Run,3
O,1,10,-23,Run,3
O,2,10,-23,Run,3
O,3,9,-24,Run,3
D,1,10,-36,Pass,3
D,2,11,-35,Pass,3
D,1,10,26,,3
D,1,10,26,Pass,3
D,2,25,41,Pass,4
O,1,10,-41,Run,4
O,2,2,-49,Run,4
O,1,10,31,Pass,4
O,2,10,31,Run,4
O,3,10,31,Pass,4
D,1,10,-25,Run,4
D,2,19,-16,Run,4
D,3,8,-27,Run,4
D,1,10,-38,Run,4
D,2,1,-47,Run,4
D,1,10,44,Run,4
D,1,10,30,Run,4
D,2,4,24,Run,4
D,1,10,16,Pass,4
O,1,10,-27,Run,4
O,2,11,-26,Run,4
O,1,10,-38,Pass,4
O,2,10,-38,Pass,4
O,3,16,-32,Pass,4
D,1,10,-38,Run,4
D,2,12,-36,Run,4
D,3,4,-44,Run,4
D,4,5,-43,Run,4
,,,,,
,,,,,
K,0,0,-40,KO,1
D,1,10,-30,Run,1
D,2,9,-31,Run,1
D,1,10,-43,Pass,1
D,2,13,-40,Pass,1
D,3,2,49,Run,1
D,1,10,46,Run,1
D,2,8,44,Pass,1
D,1,10,34,Run,1
D,2,5,29,Run,1
D,3,1,25,Run,1
D,1,10,19,Run,1
D,2,7,16,Run,1
D,1,4,4,Run,1
K,0,,3,Extra Pt. Block,1
K,0,,-40,KO Rec,1
O,1,10,-22,Run,1
O,2,4,-28,Run,1
O,1,10,43,Run,1
O,2,11,44,Pass,1
K,0,,3,Extra Pt.,1
K,0,,-25,KO,1
D,1,10,-46,Run,1
D,2,7,-49,Run,1
D,1,10,42,Run,1
D,1,10,29,Run,1
D,2,8,27,Run,1
D,1,10,12,Run,1
D,1,1,1,Run,1
K,0,,3,Extra Pt. Block,1
K,0,,-40,KO Rec,1
O,1,10,-46,Run,1
O,2,2,46,Run,1
O,3,1,45,Run,1
O,1,10,38,Run,1
O,1,10,27,Run,1
O,1,12,29,Run,1
O,2,9,26,Pass,1
O,3,18,35,Run,1
K,4,19,36,Punt,1
D,1,10,-2,Run,1
D,1,10,-14,Run,1
D,2,7,-17,Pass,1
D,1,10,-25,Pass,1
O,1,10,34,Run,1
,2,4,28,,1
O,2,4,28,Run,2
O,1,10,29,Run,2
O,1,10,16,Pass,2
O,2,10,16,Run,2
O,3,11,17,Pass,2
K,4,8,14,FG,2
K,0,,-40,KO,2
D,1,10,-25,Run,2
D,1,10,-42,Run,2
D,2,1,49,Run,2
D,1,10,38,Run,2
D,1,10,25,Run,2
D,2,3,18,Run,2
D,3,1,16,Run,2
D,1,6,6,Run,2
D,2,4,4,Run,2
K,0,,3,Extra Pt. Block,2
K,0,,-40,KO Rec,2
O,1,10,-37,Run,2
O,1,10,-47,Pass,2
O,2,7,50,Run,2
O,1,10,32,Run,2
O,1,20,42,Run,2
O,2,14,36,Pass,2
O,3,12,34,Run,2
O,4,2,24,Run,2
O,1,10,18,Run,2
O,1,42,8,Run,2
O,2,35,1,Run,2
K,0,,3,Extra Pt.,2
K,0,,-40,KO,2
D,1,10,-28,Run,2
D,2,7,-31,Pass,2
D,3,7,-31,Pass,2
,4,9,-29,,2
K,4,10,-31,Punt Rec,2
O,1,10,-35,Pass,2
O,2,1,-44,Run,2
O,1,10,-47,Pass,2
O,2,10,-47,Pass,2
O,3,11,-46,Pass,2
K,4,11,-46,Punt,2
D,1,10,-48,Pass,2
D,1,10,42,Run,2
D,1,16,48,Pass,2
D,2,11,43,Run,2
